PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO)-E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr, CI-Coef**2 ,NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz,DiradicalCharacter(PUHF),IsOK
1040548,-9.06275,-1.21798,7.84477,7.343,168.95422,430.8031,29089.08282,3.5788716,9.4279569,0.247573,0.003426476173932,0,0,1,0,0,0,0,16,0,13,2,0,0,13,0,14,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3.3E-05,0
1042698,-9.17348,-1.3933,7.78018,3.776,164.79163,583.0228,23239.60031,3.67322,7.8819186,0.477388,0.005138102681914,0,0,1,0,0,0,0,16,0,13,2,0,0,13,0,14,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0
10465615,-7.81466,-1.8035,6.01116,6.741,218.76285,4497.1152,45413.57756,2.3232856,6.3839984,0.378065,0.007954936371203,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.223071,1
10512801,-9.27324,-1.41706,7.85618,3.68,174.37963,556.7953,38266.97067,4.0902772,7.8925947,0.707791,0.009464129959738,0,0,2,1,0,0,0,8,2,8,2,2,2,6,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.001981,0
10561976,-8.71941,-0.34022,8.37919,2.612,197.30375,403.3718,40146.80538,4.8039482,13.8761606,0.353947,0,0,0,2,0,0,0,0,16,0,12,4,0,0,12,0,14,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0.007603,0
10656184,-9.01125,0.09307,9.10432,0.706,182.74932,85.5265,22479.62141,5.7785909,12.425041,0.515232,0.001813796515916,0,3,2,1,0,0,0,10,4,14,1,3,1,13,0,12,1,0,4,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
10680138,-7.72397,-1.08413,6.63984,2.851,201.93747,246.7256,14785.38897,2.9647071,4.2824116,0.252244,0.042258515087938,0,2,3,0,0,2,0,8,2,10,0,5,2,8,0,6,1,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0.358122,1
10750785,-8.5501,-1.98078,6.56932,1.599,208.12647,66.8218,56645.03757,2.6741997,4.1559063,0.245931,0.030173413128602,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.498643,1
10773260,-9.09731,-0.18672,8.91059,2.058,136.05248,50.3306,12277.42803,5.1423311,8.4126962,0.738823,0.014810468920993,0,1,5,0,0,1,0,13,1,13,0,2,0,13,0,14,0,0,7,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0.023603,0
1078669,-9.00561,-1.69578,7.30983,7.849,191.90419,955.4589,42055.88999,3.0763463,10.0975139,0.15214,0,0,3,2,1,0,0,0,9,3,12,1,2,2,10,0,12,0,0,4,2,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.049484,0
10846305,-8.98667,-0.29509,8.69158,4.858,174.21406,327.2969,12203.76733,5.1074934,9.8816615,0.457283,0.008484124988676,2,4,0,0,0,0,0,6,6,15,2,1,4,11,0,8,1,1,0,0,7,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10860,-8.90348,-1.37314,7.53034,3.667,201.46936,700.8451,78713.60497,4.9837964,17.7432165,0.011892,0,0,0,2,0,0,0,0,16,0,13,3,0,0,13,0,14,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0
10910065,-9.11949,-0.40838,8.71111,1.587,142.27417,174.7825,11467.15831,4.1252435,10.4068792,0.615832,0.011883818907185,0,2,2,0,0,0,0,10,5,9,4,4,1,8,0,9,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
10931776,-9.73892,-0.02497,9.71395,2.611,128.73807,108.245,6805.16183,5.6322232,12.4090429,0.286308,0.001861134664357,0,1,5,0,0,0,0,13,1,13,1,1,0,13,0,14,0,0,7,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4E-06,0
10942591,-8.74316,-0.13799,8.60517,3.452,122.51028,151.2979,14159.76202,4.2929689,8.5907785,0.318311,0.009594609976326,0,0,3,0,0,0,0,12,1,12,1,0,0,12,0,12,0,0,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0
