,PubChem ID, E(LUMO/PM6) [eV],n, DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF),OK
25,1095028,-1.11472,3.458975,4.647,177.00488,37557.41938,4,0,0,15,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2.8236332,0.09649,0.02262001,0.149704,1
26,1095029,-1.10959,3.348005,4.443,167.85386,34082.00869,2,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2.7473381,0.103226,0.02631739,0.160858,1
27,10964773,-1.09557,4.178155,7.705,131.04947,20183.59104,4,0,0,16,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,4.2878753,0.131865,0.0151354,0.031991,0
28,10982769,-2.55365,2.138525,0.008,130.75306,-15076.19018,2,0,0,9,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5473933,3.1e-05,0.37863848,0.83572,0
29,10987609,-0.59713,4.512965,3.331,195.88136,46656.2487,0,0,0,3,3,1,2,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3.9403007,0.003717,0.0,0.021289,0
30,11009981,-1.18448,4.17568,3.63,192.49345,32465.39024,4,0,0,14,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3.942467,0.148496,0.00533069,0.049622,0
31,11020983,-1.65188,3.89734,5.537,193.70642,51513.6302,5,0,0,14,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5100387,0.532884,0.00652612,0.077235,1
32,11062613,-0.82634,4.287055,4.895,138.63288,24262.8903,2,0,0,18,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,4.2808579,0.089014,0.01535231,0.040827,0
33,11105652,0.02764,4.579675,2.764,137.47696,18709.95734,0,0,0,5,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3555894,0.00015,0.0,0.017322,0
34,11105839,-0.43864,4.3682,4.252,142.62728,16935.10957,3,0,0,8,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3.9680874,0.007476,0.01154427,0.026777,0
