PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], IsotropicAverageAlpha [Ang^3], AverageBetaX [A.U.], AverageBetaX [ESU],  AverageBetaY [A.U.], AverageBetaY [ESU], AverageBetaZ [A.U.], AverageBetaZ [ESU], DiradicalCharacter(PUHF)
11105839, -9.175040, -0.438640, 4.252, 142.62728, 21.13518, 7.6076, 6.57249e-32, 31.7539, 2.74335e-31, -38.5811, -3.33318e-31 ,.026777 
11126547, -8.791420, -0.051960, 2.591, 141.24644, 20.93056, 131.3554, 1.13483e-30, -38.4066, -3.31811e-31, 7.6649, 6.62206e-32 ,.028504 
111435, -10.239300, -1.902610, 4.536, 161.44089, 23.92307, -198.232, -1.71261e-30, -4.3207, -3.73282e-32, -33.0712, -2.85716e-31 ,.001857 
11147991, -8.411410, -1.595080, 3.823, 156.03885, 23.12257, 292.3614, 2.52583e-30, 418.0374, 3.6116e-30, 125.0206, 1.0801e-30 ,.315883 
11195803, -8.896080, -2.194320, 4.643, 187.43724, 27.77533, -781.6285, -6.75282e-30, -90.1668, -7.78988e-31, -7.3308, -6.33339e-32 ,.205665 
11275962, -9.399290, -0.763870, 4.941, 163.06372, 24.16355, -3.2868, -2.83964e-32, -56.1008, -4.84678e-31, -36.3427, -3.1398e-31 ,0 
1133517, -8.835810, -0.998600, 3.387, 201.79828, 29.90342, -197.1928, -1.70363e-30, -429.8792, -3.71391e-30, -58.9535, -5.09324e-31 ,0 
1133520, -8.583830, -0.960420, 2.54, 206.0037, 30.5266, 430.815, 3.72199e-30, -366.1755, -3.16354e-30, 56.8169, 4.90865e-31 ,0 
11352, -8.337130, -1.131190, 3.879, 178.11646, 26.39414, -444.6141, -3.84121e-30, -106.0929, -9.16581e-31, 47.5411, 4.10728e-31 ,.139248 
11353, -8.120130, -1.111730, 1.116, 179.75249, 26.63657, 644.4999, 5.5681e-30, -398.3471, -3.44149e-30, 65.2975, 5.64132e-31 ,.137527 
11469371, -9.354190, -0.562090, 3.331, 138.32103, 20.49706, 256.6807, 2.21757e-30, -11.9324, -1.03089e-31, 40.719, 3.51788e-31 ,0 
11470450, -8.991290, 0.025470, 1.731, 206.48717, 30.59824, 45.6544, 3.94428e-31, 57.8818, 5.00065e-31, -24.3786, -2.10617e-31 ,.022335 
114754, -8.170410, -1.282070, 0.026, 194.77859, 28.86321, -6.2523, -5.40166e-32, 2.5379, 2.19262e-32, 1.8034, 1.55802e-32 ,0 
115103, -8.986380, -0.831900, 4.702, 172.86848, 25.61647, -514.7478, -4.44712e-30, -3.4194, -2.95415e-32, -15.2174, -1.31469e-31 ,0 
115200, -8.486150, -0.546240, 3.224, 177.33529, 26.27838, 379.9186, 3.28228e-30, 58.4358, 5.04851e-31, 29.4625, 2.54539e-31 ,.047017 
11521152, -9.401980, -0.721480, 5.128, 150.61975, 22.31954, 115.6451, 9.99106e-31, 4.9983, 4.31828e-32, 28.417, 2.45507e-31 ,.035740 
115222, -8.594830, -0.937940, 8.643, 176.1058, 26.09619, -34.4211, -2.97378e-31, -240.6374, -2.07897e-30, 62.6241, 5.41036e-31 ,0 
115372, -9.519110, -1.056180, 5.613, 151.02411, 22.37946, -324.5375, -2.80382e-30, -16.7071, -1.44339e-31, 6.0446, 5.22222e-32 ,.026788 
11586510, -8.930010, -1.564550, 1.159, 175.34754, 25.98382, -607.6462, -5.24971e-30, 54.3719, 4.69741e-31, -3.4659, -2.99437e-32 ,.000534 
116929, -9.471830, -1.796860, 5.198, 125.77943, 18.63859, 310.682, 2.68411e-30, -39.0132, -3.37051e-31, 0.629, 5.43403e-33 ,0 
1177871, -8.939240, -1.347890, 3.393, 220.79021, 32.71773, -51538.1503, -4.4526e-28, 25398.3572, 2.19427e-28, 137.6112, 1.18888e-30 ,0 
1177872, -8.889070, -1.327670, 3.941, 228.67183, 33.88567, 69053.145, 5.96579e-28, -25902.6037, -2.23783e-28, -514.4066, -4.44417e-30 ,0 
1177873, -9.025260, -1.219790, 2.895, 222.82278, 33.01893, 59423.0225, 5.1338e-28, 11776.1118, 1.01739e-28, -11469.6708, -9.90913e-29 ,0 
1177875, -8.698460, -1.243340, 4.479, 215.88543, 31.99092, 52962.6584, 4.57567e-28, 20746.113, 1.79234e-28, -425.6977, -3.67778e-30 ,0 
11798, -8.829110, -1.385280, 2.215, 197.48167, 29.26376, 0.3981, 3.43894e-33, 804.3479, 6.9491e-30, -4.2013, -3.62972e-32 ,0 
11877, -9.185000, -0.749910, 5.612, 122.56472, 18.16222, 369.0706, 3.18856e-30, 90.3806, 7.80835e-31, -88.5802, -7.65282e-31 ,0 
119308, -8.873020, -0.873950, 3.082, 174.37913, 25.84032, 459.2982, 3.96807e-30, 104.4342, 9.02251e-31, -20.0104, -1.72878e-31 ,0 
11966259, -8.826830, -0.869600, 2.492, 168.32403, 24.94305, -45.1768, -3.90302e-31, 28.498, 2.46206e-31, 39.6446, 3.42506e-31 ,.075461 
12008984, -8.980390, -0.822970, 3.272, 199.29377, 29.53229, -414.1003, -3.57759e-30, 189.7664, 1.63947e-30, -109.8638, -9.4916e-31 ,0 
12008985, -9.255330, -0.958940, 4.569, 199.58198, 29.575, -86.6989, -7.49028e-31, 89.2645, 7.71194e-31, -61.8479, -5.3433e-31 ,.003959 
1204360, -8.553260, -1.181170, 3.858, 189.84099, 28.13153, -103.4264, -8.93544e-31, 157.2593, 1.35863e-30, -179.4309, -1.55018e-30 ,0 
1207367, -8.842950, -1.145900, 3.504, 206.17388, 30.55182, -213.6396, -1.84572e-30, -561.1205, -4.84775e-30, -158.518, -1.3695e-30 ,.000821 
12076122, -9.045370, 0.111180, 5.734, 128.26689, 19.00719, -68.2493, -5.89635e-31, 57.4131, 4.96016e-31, 39.7136, 3.43103e-31 ,0 
121004, -8.200400, -0.915550, 5.497, 214.85677, 31.83849, -160.4237, -1.38597e-30, -49.5874, -4.28406e-31, 86.9118, 7.50867e-31 ,.137036 
1213077, -8.184190, -0.878730, 2.299, 212.12431, 31.43358, 756.0269, 6.53163e-30, 49.5947, 4.2847e-31, 210.9401, 1.8224e-30 ,.064941 
121659, -9.404620, -1.958390, 2.217, 164.52579, 24.38021, -892.032, -7.70664e-30, -2.8456, -2.45845e-32, 16.5911, 1.43337e-31 ,.000577 
1224201, -8.702190, -1.154430, 6.752, 192.6814, 28.55244, -140.8893, -1.2172e-30, -199.1783, -1.72078e-30, -213.7228, -1.84644e-30 ,.072131 
12267491, -8.545760, -0.133840, 5.47, 186.943, 27.70209, -314.7327, -2.71911e-30, -109.3617, -9.44822e-31, -140.6911, -1.21549e-30 ,.013261 
12275330, -9.585440, -1.826220, 7.979, 191.37214, 28.35843, -584.0634, -5.04597e-30, -335.7747, -2.9009e-30, -117.0651, -1.01137e-30 ,.085962 
123071, -8.732770, -1.193270, 6.934, 120.37815, 17.8382, 316.7385, 2.73644e-30, -11.9569, -1.033e-31, -83.5666, -7.21967e-31 ,0 
12321831, -8.942770, -0.220660, 5.017, 123.41775, 18.28862, 153.0134, 1.32195e-30, -68.0581, -5.87982e-31, 10.1917, 8.80507e-32 ,.012594 
12330980, -9.601800, -0.618510, 5.248, 146.08617, 21.64774, 86.221, 7.44899e-31, -56.4948, -4.88082e-31, 30.4921, 2.63434e-31 ,.001344 
1236689, -9.269580, -1.306930, 7.623, 173.90106, 25.76948, 622.095, 5.37454e-30, -110.0317, -9.50609e-31, 4.8639, 4.20209e-32 ,0 
12520314, -8.850010, -0.804780, 1.314, 183.44194, 27.18329, -451.577, -3.90136e-30, -86.4077, -7.46512e-31, -30.7017, -2.65245e-31 ,.021633 
12581254, -9.332690, -1.881250, 6.371, 193.27778, 28.64081, 1035.7825, 8.94856e-30, 41.1681, 3.55669e-31, 132.3186, 1.14316e-30 ,0 
12586187, -8.112740, -1.214340, 0.52, 159.76148, 23.67421, -109.909, -9.4955e-31, -0.0009, -7.55054e-36, -0.0389, -3.35712e-34 ,.386950 
12605, -8.345000, -1.454890, 0.493, 188.48006, 27.92986, 1454.3367, 1.25646e-29, -458.4101, -3.9604e-30, -63.6512, -5.49909e-31 ,.000211 
12724852, -10.102880, -1.482560, 1.508, 126.83928, 18.79564, -224.4209, -1.93887e-30, 23.6646, 2.04448e-31, -4.8878, -4.22281e-32 ,.039632 
12756195, -9.802050, -1.131990, 1.073, 164.12847, 24.32133, 438.0975, 3.78491e-30, -235.3753, -2.03351e-30, 6.4093, 5.53726e-32 ,.005167 
12756203, -10.049910, -1.214230, 6.868, 158.50584, 23.48814, 97.7734, 8.44705e-31, 173.9093, 1.50248e-30, -3.8944, -3.36457e-32 ,.012915 
1282460, -9.225070, -0.593840, 3.355, 123.01378, 18.22876, -263.4812, -2.27632e-30, 149.2674, 1.28958e-30, 118.1648, 1.02087e-30 ,0 
128646, -9.293490, -1.054090, 4.181, 107.18712, 15.88349, -192.8341, -1.66597e-30, 118.7943, 1.02631e-30, 59.7176, 5.15925e-31 ,0 
128832, -8.248690, -0.940910, 1.466, 182.81759, 27.09077, 827.2925, 7.14733e-30, 260.4, 2.2497e-30, -105.1002, -9.08004e-31 ,.013898 
12946084, -9.540460, -0.471780, 4.191, 174.65971, 25.8819, -32.4404, -2.80266e-31, 86.6694, 7.48773e-31, -48.586, -4.19755e-31 ,.015254 
129906, -8.118220, -1.112960, 2.573, 224.28831, 33.2361, 2.7805, 2.40219e-32, 2.1047, 1.81836e-32, -193.4757, -1.67152e-30 ,0 
130624, -7.956980, -0.722400, 3.006, 196.84608, 29.16958, 464.1715, 4.01017e-30, 135.3853, 1.16965e-30, -45.6951, -3.94779e-31 ,.385602 
13082332, -9.458120, -1.280560, 2.636, 204.81578, 30.35057, 12990.524, 1.12231e-28, -4803.1684, -4.14966e-29, 382.5386, 3.30491e-30 ,0 
13082333, -9.497540, -1.421810, 2.652, 200.96555, 29.78002, 19027.2902, 1.64385e-28, 9935.9996, 8.58413e-29, 684.6215, 5.91473e-30 ,0 
13120047, -10.000690, -0.801210, 3.688, 146.74622, 21.74555, -100.7972, -8.70829e-31, 34.5982, 2.98908e-31, -36.8387, -3.18265e-31 ,.009422 
13161259, -8.571340, 0.953960, 1.307, 120.90791, 17.9167, -1.021, -8.82078e-33, -34.0815, -2.94444e-31, -24.2289, -2.09323e-31 ,.034662 
13164549, -9.101690, -0.703030, 5.302, 202.70371, 30.03759, -542.7434, -4.68899e-30, 216.4946, 1.87039e-30, 91.4717, 7.90263e-31 ,0 
132584, -8.325160, -0.627440, 4.211, 183.16759, 27.14264, -263.196, -2.27386e-30, -95.7801, -8.27484e-31, -85.6666, -7.40109e-31 ,.019890 
13287597, -7.781690, -1.487400, 0.759, 224.24402, 33.22954, 177.255, 1.53138e-30, 0.0199, 1.7208e-34, 0.0358, 3.09587e-34 ,.424779 
13287599, -7.771990, -1.609750, 0.294, 438.19376, 64.93361, 18484600000.0, 1.59696e-22, -4221150.0, -3.64682e-26, 11343200.0, 9.79989e-26 ,.389133 
13555739, -8.908400, -0.569280, 2.437, 139.64449, 20.69318, 131.0949, 1.13258e-30, -96.2672, -8.31693e-31, -12.0169, -1.03819e-31 ,.018286 
13601712, -8.863800, -1.432930, 3.45, 203.12741, 30.10038, 503.0109, 4.34572e-30, -206.3392, -1.78265e-30, 9.8095, 8.47487e-32 ,0 
136051, -8.422650, -1.109670, 2.43, 207.81847, 30.79552, -201.8822, -1.74414e-30, 426.1286, 3.6815e-30, -0.0637, -5.49921e-34 ,.002152 
136238, -8.096350, -1.265400, 0.683, 193.97767, 28.74452, 0.5637, 4.87027e-33, -175.2069, -1.51369e-30, -0.1702, -1.47036e-33 ,.198430 
136611, -8.801900, -0.818590, 0.477, 134.75549, 19.9687, -29.2243, -2.52481e-31, 84.9505, 7.33923e-31, -16.9423, -1.46372e-31 ,.109600 
13731, -9.245260, -1.631550, 8.288, 197.52201, 29.26974, 17.9278, 1.54885e-31, 429.9297, 3.71434e-30, -7.0667, -6.10526e-32 ,0 
137459, -9.084130, -1.501640, 4.982, 161.20959, 23.8888, 317.875, 2.74625e-30, 19.0479, 1.64563e-31, 118.7339, 1.02579e-30 ,.000689 
137460, -9.057220, -1.572880, 2.353, 150.67839, 22.32823, 419.9797, 3.62838e-30, -244.152, -2.10933e-30, 109.1883, 9.43323e-31 ,.001038 
138788, -7.726460, -0.809440, 3.156, 230.57187, 34.16723, 541.6756, 4.67976e-30, -879.3558, -7.59712e-30, -16.0245, -1.38442e-31 ,0 
139143, -8.349870, -1.358960, 2.969, 177.57193, 26.31345, 0.6819, 5.89137e-33, 55.0727, 4.75796e-31, 0.0802, 6.92851e-34 ,.254885 
140252, -8.308880, -0.757340, 0.434, 220.82026, 32.72219, 0.8787, 7.59153e-33, 51.8628, 4.48064e-31, 27.0247, 2.33478e-31 ,.217161 
1403696, -8.799660, -2.019390, 1.261, 175.99217, 26.07935, -579.538, -5.00687e-30, -244.5048, -2.11238e-30, 8.7474, 7.55728e-32 ,.030413 
140391, -8.861820, -0.656910, 1.463, 160.34641, 23.76089, 285.4623, 2.46623e-30, -53.4321, -4.61622e-31, 13.7983, 1.19209e-31 ,.009310 
140677, -8.840010, -1.178160, 4.214, 186.68922, 27.66449, -28.1191, -2.42932e-31, 262.8796, 2.27113e-30, -369.3828, -3.19125e-30 ,.115056 
14124, -8.812500, -0.563150, 4.308, 142.35829, 21.09532, -352.4648, -3.04509e-30, -156.9994, -1.35638e-30, 16.5272, 1.42785e-31 ,0 
141321, -8.674730, -1.507230, 1.085, 185.40445, 27.47411, -168.4, -1.45488e-30, 49.2688, 4.25653e-31, 5.6736, 4.90168e-32 ,.265143 
1417343, -8.646590, 1.740930, 2.23, 128.14166, 18.98863, 3.5517, 3.0685e-32, -6.1331, -5.29867e-32, 54.9718, 4.74925e-31 ,0 
14202688, -9.490890, -0.832610, 3.309, 140.17985, 20.77251, 164.4177, 1.42047e-30, 316.842, 2.73733e-30, 9.1275, 7.88559e-32 ,.004523 
142316, -8.607510, -0.690430, 1.883, 188.4757, 27.92922, -236.8605, -2.04634e-30, -40.9602, -3.53872e-31, -80.5468, -6.95877e-31 ,.217233 
142392, -8.798820, -0.358630,  ,.047629 
143380, -8.604620, -0.741010, 1.092, 144.52515, 21.41642, -14.0653, -1.21516e-31, -5.6718, -4.90015e-32, -1.1692, -1.01009e-32 ,.129682 
143466, -7.864200, -1.150160, 1.586, 209.06955, 30.98091, 0.2266, 1.9576e-33, -156.1889, -1.34938e-30, 2.3877, 2.06286e-32 ,.205161 
143532, -8.087620, -0.132720, 1.244, 200.8229, 29.75888, -0.137, -1.18361e-33, -79.0303, -6.82776e-31, 0.0119, 1.02585e-34 ,.150867 
144109, -8.371630, -0.648500, 3.333, 122.31474, 18.12517, -58.216, -5.02952e-31, -321.7863, -2.78005e-30, 23.4848, 2.02895e-31 ,.650886 
145625, -8.545520, -0.476420, 1.19, 123.26438, 18.2659, 34.8506, 3.01089e-31, -0.1102, -9.52229e-34, -0.1434, -1.23883e-33 ,.155504 
146268, -9.031270, -1.637900, 7.386, 194.56554, 28.83164, 3437.7777, 2.97004e-29, -685.9182, -5.92593e-30, -10.9555, -9.46489e-32 ,.089043 
146301, -8.128150, -1.294100, 0.003, 188.77669, 27.97382, 0.5777, 4.99094e-33, -0.0421, -3.63507e-34, 0.1889, 1.63222e-33 ,.160558 
14642924, -8.165290, -1.165010, 1.372, 212.79333, 31.53272, 1148.9612, 9.92636e-30, -845.7816, -7.30706e-30, 6.703, 5.79096e-32 ,.021452 
146491, -8.056400, -1.209000, 2.395, 148.88745, 22.06284, 498.6764, 4.30827e-30, -102.2106, -8.8304e-31, 48.1367, 4.15873e-31 ,.322379 
146720, -8.050370, -1.062610, 3.758, 193.71546, 28.70567, -411.8439, -3.55809e-30, 526.9672, 4.55269e-30, 34.1189, 2.94768e-31 ,.133962 
14707943, -9.995120, -1.780970, 4.318, 104.79781, 15.52943, 192.2251, 1.66071e-30, 181.0028, 1.56376e-30, -0.6103, -5.27301e-33 ,0 
147133, -8.792460, -0.906360, 7.932, 173.2086, 25.66687, 240.1578, 2.07482e-30, -414.5301, -3.5813e-30, -52.5633, -4.54116e-31 ,.017894 
147165, -8.496940, -0.781800, 3.712, 216.27156, 32.04814, 230.7949, 1.99393e-30, 337.8143, 2.91852e-30, 53.7296, 4.64192e-31 ,.037968 
147195, -8.232750, -1.213980, 3.765, 192.0009, 28.4516, -304.2593, -2.62862e-30, -51.1597, -4.4199e-31, -148.9731, -1.28704e-30 ,.149243 
147442, -8.872820, -2.100580, 3.036, 197.21467, 29.2242, 456.4488, 3.94345e-30, 8.1294, 7.02333e-32, 18.5487, 1.6025e-31 ,.266425 
147450, -8.046470, -1.178020, 2.802, 220.22911, 32.63459, 57.1057, 4.9336e-31, 801.2035, 6.92193e-30, -10.283, -8.88394e-32 ,.148925 
1478181, -9.376020, -1.514860, 8.187, 205.68027, 30.47867, 15103.284, 1.30484e-28, -9032.6441, -7.80368e-29, -282.456, -2.44026e-30 ,0 
147873, -8.142680, -1.164460, 1.444, 218.58367, 32.39076, -139.1331, -1.20203e-30, 288.2733, 2.49051e-30, 13.1624, 1.13716e-31 ,0 
1480581, -8.832970, -0.936810, 3.627, 199.39058, 29.54663, -87.2435, -7.53733e-31, 35.6722, 3.08187e-31, -110.0062, -9.5039e-31 ,0 
14809009, -8.417860, -0.532430, 1.306, 181.09249, 26.83514, 567.6256, 4.90395e-30, 66.717, 5.76396e-31, 4.375, 3.77974e-32 ,.084859 
148471, -9.606900, -2.129720, 3.145, 164.78151, 24.4181, -206.187, -1.78134e-30, 72.1017, 6.22917e-31, 0.2779, 2.40095e-33 ,.018238 
148519, -8.702780, -1.328150, 6.141, 139.68172, 20.69869, -326.6469, -2.82204e-30, -85.3343, -7.37238e-31, 42.8272, 3.70002e-31 ,0 
1487823, -9.343410, -0.766980, 1.12, 80.58306, 11.94118, 476.0377, 4.11269e-30, -17.9335, -1.54935e-31, -71.0754, -6.1405e-31 ,0 
148828, -9.136780, -1.326720, 7.58, 157.27816, 23.30622, 798.5193, 6.89874e-30, -18.1058, -1.56424e-31, -31.0591, -2.68333e-31 ,.026915 
148829, -9.045360, -0.959100, 9.107, 153.65764, 22.76971, 788.7289, 6.81416e-30, 409.3499, 3.53655e-30, -34.2468, -2.95872e-31 ,0 
149182, -7.419850, -0.269530, 5.166, 222.5255, 32.97488, -908.7937, -7.85145e-30, -124.0006, -1.07129e-30, -72.5128, -6.26469e-31 ,.142511 
149184, -8.245640, -1.261630, 4.194, 187.90238, 27.84426, 0.9845, 8.50593e-33, 571.2595, 4.93535e-30, 0.4962, 4.28666e-33 ,.163523 
14922405, -9.154120, -0.155880, 1.307, 165.37744, 24.50641, -120.9092, -1.04458e-30, 11.2926, 9.75613e-32, 25.4487, 2.19862e-31 ,.020134 
1492821, -8.367770, -0.656190, 3.911, 180.88782, 26.80481, -220.6408, -1.90621e-30, -306.9836, -2.65216e-30, 293.3796, 2.53463e-30 ,0 
1492831, -8.239080, -0.612010, 1.548, 190.42083, 28.21745, -241.2832, -2.08455e-30, -124.3131, -1.07399e-30, 235.9722, 2.03866e-30 ,0 
149633, -8.820200, -1.507680, 7.318, 214.54769, 31.79269, 1306.7858, 1.12899e-29, 668.1124, 5.7721e-30, -6.3096, -5.4511e-32 ,.184512 
1496698, -9.415920, -0.377080, 0.449, 112.9018, 16.73032, 100.8887, 8.7162e-31, -97.1519, -8.39336e-31, -63.3861, -5.47619e-31 ,.000034 
1511466, -8.824090, -1.623310, 3.027, 170.57039, 25.27592, 1377.335, 1.18994e-29, -639.9101, -5.52845e-30, -95.0827, -8.21459e-31 ,.115460 
151524, -8.869640, -1.406850, 6.228, 169.34769, 25.09474, 479.4116, 4.14184e-30, 129.2848, 1.11695e-30, 20.8516, 1.80146e-31 ,0 
1518294, -9.509520, -1.164290, 5.711, 160.12143, 23.72755, 281.0617, 2.42821e-30, -90.5347, -7.82167e-31, -76.8321, -6.63785e-31 ,0 
152522, -7.970790, -0.983750, 3.051, 195.84711, 29.02155, 242.7733, 2.09742e-30, 78.4764, 6.7799e-31, 152.8984, 1.32095e-30 ,.133836 
153584, -8.380370, -1.046360, 1.344, 202.59232, 30.02108, -257.5195, -2.22482e-30, 96.6417, 8.34928e-31, 25.7092, 2.22112e-31 ,0 
153603, -9.534700, -1.744420, 5.788, 181.63862, 26.91607, -324.8429, -2.80645e-30, -23.2699, -2.01039e-31, 44.8367, 3.87363e-31 ,0 
154580, -8.620890, -0.711350, 2.639, 140.3863, 20.8031, -106.5078, -9.20165e-31, -499.3946, -4.31448e-30, -26.5293, -2.29198e-31 ,0 
154591, -8.743420, -0.867090, 3.786, 173.57035, 25.72047, 621.1425, 5.36631e-30, 84.5704, 7.30639e-31, 22.557, 1.94879e-31 ,.056517 
1548086, -9.787090, -1.944920, 1.588, 158.09141, 23.42673, 471.3808, 4.07246e-30, 91.8077, 7.93165e-31, 45.6604, 3.94479e-31 ,.003404 
1549043, -8.616080, -0.831400, 0.639, 145.89109, 21.61883, -1129.9304, -9.76194e-30, 214.3393, 1.85177e-30, -131.1859, -1.13337e-30 ,.020355 
1550746, -9.037910, -0.810510, 3.421, 194.38653, 28.80511, -699.1226, -6.04001e-30, -420.5595, -3.63339e-30, -45.6339, -3.9425e-31 ,0 
155464, -8.216920, -1.204060, 2.691, 187.84564, 27.83585, 799.4762, 6.90701e-30, -319.7525, -2.76248e-30, -0.5958, -5.14774e-33 ,.134659 
