,Unnamed: 0,PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.],NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz, S1(CAS2-1+CIS) [eV], S2(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), T1(CAS2-1+CIS) [eV], T2(CAS2-1+CIS) [eV], DiradicalCharacter(PUHF)
15,41,1224201,-8.70219,-1.15443,6.752,192.6814,324.3443,30025.64514,0,2,2,0,0,0,0,13,2,12,2,2,0,12,0,14,0,0,4,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2.2793257,3.3213948,0.007617,0.004840407894842,0.512654499999826,2.33261559999983,0.072131
16,43,12275330,-9.58544,-1.82622,7.979,191.37214,683.7974,51743.75221,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3.5340215,4.162411,0.558133,0.010056102467214,1.64545679999992,2.58420119999992,0.085962
17,47,12586187,-8.11274,-1.21434,0.52,159.76148,109.909,14911.74907,0,0,4,0,0,0,0,14,2,12,2,2,0,12,0,12,0,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3.0822043,3.3059977,0.294583,0.061321978872563,0.6614904999999,2.0338900999999,0.38695
18,54,130624,-7.95698,-0.7224,3.006,196.84608,485.667,16631.5023,0,0,1,0,0,0,0,17,0,14,2,0,0,13,1,14,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2.0510137,2.8747442,0.016433,0.008523613880496,0.13178199999993,1.47502769999993,0.385602
19,58,13287597,-7.78169,-1.4874,0.759,224.24402,177.255,49918.33503,0,0,3,0,1,0,0,15,4,9,4,4,0,9,0,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2.7453739,2.9949312,0.246401,0.064148063529102,0.541621500000019,1.63613890000002,0.424779
20,61,136238,-8.09635,-1.2654,0.683,193.97767,175.2079,27552.51406,1,0,2,0,0,0,0,8,2,13,0,0,1,12,0,6,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3.2816396,3.6795897,0.212366,0.001746645654552,1.37420539999994,2.78055629999994,0.19843
21,62,136611,-8.8019,-0.81859,0.477,134.75549,91.4204,8469.31062,0,2,1,0,0,1,0,10,4,10,3,4,1,9,0,6,0,0,5,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1.9928053,3.0802054,0.001099,0.003030201934453,0.359994500000084,1.72975470000008,0.1096
22,65,139143,-8.34987,-1.35896,2.969,177.57193,55.077,25009.86613,1,3,0,1,0,0,0,4,4,9,4,2,4,5,0,6,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6337799,3.250005,0.0,0.00167897521009,1.03589050000028,2.57313770000028,0.254885
23,66,140252,-8.30888,-0.75734,0.434,220.82026,58.4881,24491.30687,0,1,4,0,0,2,0,9,3,7,2,5,0,7,0,8,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2.0492022,2.2716952,0.033178,0.001784208307212,0.241996599999766,0.373909799999766,0.217161
24,69,140677,-8.84001,-1.17816,4.214,186.68922,454.2467,38914.57238,0,3,2,0,0,0,0,10,4,13,0,2,1,12,0,14,0,0,4,2,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2.8051647,3.5885375,0.000295,0.020484525175706,1.55924289999984,2.58931969999984,0.115056
