PubChem ID, E(LUMO/PM6) [eV],n  [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF)
140252,-0.75734,3.77577,0.434,220.82026,24491.30687,4,0,0,9,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2.0492022,0.033178,0,0.217161
140677,-1.17816,3.830925,4.214,186.68922,38914.57238,2,0,0,10,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.8051647,0.000295,0,0.115056
141321,-1.50723,3.58375,1.085,185.40445,36138.36519,0,0,0,4,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.5111601,2E-06,0.0454915,0.265143
142316,-0.69043,3.95854,1.883,188.4757,15885.63613,0,0,0,3,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3813736,0.057734,0.00689764,0.217233
143380,-0.74101,3.931805,1.092,144.52515,8615.78919,4,0,0,9,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2.1088484,0.005644,0,0.129682
143466,-1.15016,3.35702,1.586,209.06955,22576.61495,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1991447,0.215323,0.03329179,0.205161
143532,-0.13272,3.97745,1.244,200.8229,14835.34827,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.1442674,0.013961,0.00935258,0.150867
145625,-0.47642,4.03455,1.19,123.26438,5903.35217,0,0,0,4,4,1,3,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3.9434643,0.268932,0.03425423,0.155504
146268,-1.6379,3.696685,7.386,194.56554,417850.9664,0,0,0,4,4,1,3,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2.8993631,0.570098,0,0.089043
146301,-1.2941,3.417025,0.003,188.77669,50679.06534,0,1,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3.2186257,0.110618,0,0.160558
146491,-1.209,3.4237,2.395,148.88745,22968.12992,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5578509,0.231486,0.04368577,0.322379
146720,-1.06261,3.49388,3.758,193.71546,64477.87867,2,0,0,8,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4753334,0.139449,0.01274336,0.133962
147195,-1.21398,3.509385,3.765,192.0009,67492.25607,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2404904,0.102205,0,0.149243
147442,-2.10058,3.38612,3.036,197.21467,44486.72495,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5481517,0.255284,0,0.266425
147450,-1.17802,3.434225,2.802,220.22911,76897.87975,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2487228,0.12055,0,0.148925
14809009,-0.53243,3.942715,1.306,181.09249,80367.17508,2,0,0,16,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3.7779284,0.894622,0.01590069,0.084859
149182,-0.26953,3.57516,5.166,222.5255,84396.26645,2,0,0,11,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.8334273,0.22428,0.02172314,0.142511
149184,-1.26163,3.492005,4.194,187.90238,45670.9987,4,0,0,16,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3.2559302,0.162411,0,0.163523
149633,-1.50768,3.65626,7.318,214.54769,117017.6518,4,0,1,12,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2.9172077,0.003945,0.01831455,0.184512
1511466,-1.62331,3.60039,3.027,170.57039,662749.9571,2,0,0,10,4,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3.2649769,0.116723,0.02264811,0.11546
152522,-0.98375,3.49352,3.051,195.84711,68985.69374,1,0,0,17,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3.4522579,0.134909,0.01226311,0.133836
154591,-0.86709,3.938165,3.786,173.57035,35266.60713,2,1,0,7,2,5,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4825293,0.115944,0,0.056517
155464,-1.20406,3.50643,2.691,187.84564,50531.31595,0,0,0,7,7,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.6168818,0.041541,0.01935113,0.134659
157253,-1.4005,3.68775,9.098,215.16534,72538.71523,4,0,0,14,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3.0273882,0.427217,0.01916953,0.168
167432,-1.11963,3.72408,3.519,182.6706,27038.06903,2,0,0,10,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.1421081,0.030629,0.03059414,0.24572
17172,-0.97715,3.49364,6.262,245.75629,119594.0288,3,0,0,15,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3.1992896,0.79338,0.02433319,0.20961
174070,-1.63076,4.123945,7.669,194.70266,20104.30141,3,0,0,14,3,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3.0056754,7.1E-05,0,0.050283
178018,-1.37103,3.586435,3.398,206.95471,26087.49302,2,0,0,14,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3.6568485,0.430339,0.02524717,0.175129
17844512,-2.66927,3.743555,5.835,187.66826,28885.78531,3,0,0,11,0,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2.6679683,0.102303,0.01899741,0.230958
178999,-1.98841,3.49726,11.048,214.78901,22047.65238,0,0,0,5,5,2,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8931026,0.146441,0,0.057553
17900775,-0.66918,3.21729,3.478,231.5303,71762.12799,2,0,0,8,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.4323317,0.244293,0.04790399,0.315189
1797957,-0.66705,3.648855,1.748,191.74681,38583.50847,2,0,0,8,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3.6874182,0.196508,0,0.057744
17984059,-1.18386,4.16768,5.269,168.64504,55405.64814,4,0,0,16,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3.9731422,0.041064,0.00736726,0.062481
17985985,-0.74947,3.759495,0.202,104.56881,16131.87883,2,0,0,8,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.9170706,0.043715,0.11009433,0.439184
180896,-1.87051,3.743785,4.585,183.26959,23322.6471,1,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9210795,0.046279,0.01009341,0.106936
181408,-1.2302,3.898675,5.204,189.71025,28927.52288,2,0,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.128653,0.157221,0.01369683,0.099013
18539628,-1.2015,3.34013,1.515,189.49652,32168.54713,3,0,0,14,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3.0056217,0.279571,0.04669194,0.277324
18616864,-1.82067,3.390775,2.595,143.33224,34492.4598,5,0,0,12,0,5,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3.0207261,0.074171,0,0.155533
186694,-2.65736,3.67598,5.729,159.96548,34707.96451,4,0,0,10,4,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2.9692116,0.007365,0,0.154063
18679144,-2.79641,3.39678,2.706,156.88744,43780.91365,5,0,0,15,3,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2.2572808,0.000872,0,0.125879
18761438,-2.06282,3.68163,5.572,147.36886,17345.05887,0,0,0,4,4,3,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.4857604,0.075672,0.02004473,0.24158
18865,-1.02442,3.46769,2.046,198.23638,87101.11403,3,0,0,13,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3.4084117,0.213237,0.01137824,0.124464
18944,-1.71086,3.85322,2.949,183.54313,144101.2871,5,0,0,13,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0012363,0.001952,0,0.093763
18970466,-2.0869,3.547065,9.698,142.37415,25309.15657,2,0,0,9,3,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.6096423,5.7E-05,0,0.156938
18977637,-0.88051,3.33799,1.029,237.63291,42860.18714,4,0,0,10,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2.8966364,0.259748,0.06271363,0.405161
18977681,-0.88524,3.28604,0.005,209.71308,12777.75392,3,0,0,14,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2.7342424,0.434186,0.05619168,0.411871
189829,-1.03081,3.91745,7.009,255.97099,153619.2736,0,0,0,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3531619,0.002617,0,0.091541
19104607,-2.20951,3.496775,5.685,187.32458,68020.21633,2,0,0,8,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.4544836,0.165792,0.01782987,0.284657
193287,-1.12024,3.446465,1.75,176.66764,40361.57737,3,0,0,11,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2.6641821,0.058547,0.01749623,0.251364
19352903,-1.20136,3.04531,1.372,218.26653,44920.05745,2,0,0,9,3,2,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.9641745,0.075696,0.04828843,0.357805
19356142,-1.16641,3.15506,4.647,222.83713,47173.84228,2,0,0,9,3,2,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.4761088,0.136393,0.01380883,0.134877
19356865,-2.48066,3.50445,6.848,169.81612,35585.05859,1,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4464059,0.114269,0,0.180133
193908,-1.34879,3.57516,6.747,200.15263,95608.88361,0,0,0,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0337716,0.819995,0.01100998,0.19925
194753,-1.08018,4.07829,4.78,196.99163,54731.25911,1,0,0,10,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.4929707,0.000486,0,0.054924
19748605,-0.91925,3.31174,3.168,209.79379,18690.8555,6,0,0,13,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2981639,0.077803,0.03804154,0.276252
19782482,-1.73354,3.415065,4.23,170.27626,32567.4146,3,0,0,9,3,5,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1.8704315,0.038219,0.07066021,0.368744
19800220,-2.48123,3.533835,7.515,181.61127,67305.18515,4,0,0,12,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.5500846,0.211276,0.01322203,0.264579
19844541,-1.88749,3.621625,9.061,121.86694,21051.11249,4,0,0,14,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2.4207503,0.067726,0,0.185001
19958892,-0.71756,3.361555,2.265,191.13501,54558.59833,1,0,0,10,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9974908,0.162343,0.01434123,0.154403
19988613,-2.12442,3.30343,5.416,194.26287,204349.5776,3,0,0,11,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,3.0881924,0.271286,0,0.123661
19996716,-0.94236,3.5096,2.603,217.16162,36336.22135,4,1,0,12,2,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.1866931,0.008187,0,0.051036
20031092,-1.83202,3.32925,5.052,185.29149,168055.9333,1,1,0,14,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.1316937,0.029863,0,0.301692
20063929,-1.97769,3.740645,4.616,162.84872,15633.10881,2,0,0,8,2,1,3,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.5531227,0.073062,0.02033566,0.235683
20067061,-2.55975,3.5759,6.201,169.32273,42682.32953,2,1,0,11,1,6,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8552446,0.129003,0,0.179247
20067246,-2.15413,3.727385,6.072,132.13548,14107.19715,3,0,0,17,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,2.6295053,0.066789,0.02231961,0.239032
20141772,-2.19436,3.238245,5.815,176.7965,40195.91712,3,0,0,9,3,2,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.683716,0.351435,0.01502395,0.279612
20199652,-2.14419,3.718495,6.193,177.07846,25822.62262,2,0,0,10,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2.6814455,0.083735,0,0.222426
20221375,-0.33055,3.01252,3.018,234.45251,-4566.56122,2,0,0,9,3,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1549477,0.160316,0.05850324,0.326953
20265822,-1.16677,3.49555,3.011,133.27813,20759.14267,2,0,0,14,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.8526237,0.000845,0,0.091173
20266026,-2.79499,3.36886,6.63,218.15594,17658.6934,2,0,0,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.3707873,0.000477,0.03597967,0.334018
20298306,-1.00424,3.41715,0.393,177.61362,35532.23227,3,0,0,9,3,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7292325,0.177866,0.05836034,0.281083
20303032,-1.72048,3.513805,4.261,177.80854,22585.33883,2,0,0,9,3,2,4,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.8566405,0.134349,0.09939189,0.353813
20346208,-0.81892,3.36942,3.089,185.33398,44679.33847,1,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.6027604,0.175063,0.0576001,0.294205
20450517,-1.53938,3.257355,3.116,201.46311,24411.33995,4,0,0,15,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2.6990698,0.310932,0.05518024,0.367458
20454050,-0.90994,3.930555,4.284,179.7161,24247.2895,1,0,0,8,2,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3269986,0.05816,0.01130787,0.118603
20483354,-2.02328,3.58002,4.629,176.12434,16637.56152,2,0,1,8,3,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.563496,0.075162,0.02046736,0.235197
20490778,-2.57655,3.463105,8.713,151.258,25138.52222,3,0,0,8,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2.4512457,0.0997,0,0.173702
20563349,-1.72952,3.09925,3.663,217.13576,13999.97262,4,0,0,16,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,2.3917165,0.411727,0.04891195,0.391175
20587056,-0.64127,3.001425,0.944,218.18087,-1897.99189,2,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2.435333,0.218906,0.06860717,0.312913
20768560,-1.44056,3.13008,5.084,206.93041,123586.4533,1,0,0,7,1,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0044773,0.035397,0,0.350321
21082,-0.94775,3.43303,0.028,189.10563,19275.46737,1,0,0,18,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3.6109865,0.101959,0.02713386,0.149367
21087837,-1.38527,3.38447,1.77,236.90836,45283.71282,2,0,0,6,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7116508,0.135258,0.01706882,0.250722
21111619,-0.88332,3.64381,4.961,139.67741,14039.49216,3,0,0,8,2,5,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.4087499,0.034697,0.0049624,0.121566
21115849,-1.06893,3.48362,2.154,199.41734,37301.08918,4,0,0,8,2,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2687602,0.03412,0,0.231329
21127596,-1.63991,3.23927,1.932,240.84392,-42342.92975,4,0,0,12,1,6,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2.3086589,0.120105,0.04286008,0.310059
