PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
69598602,-7.75239,-1.46532,6.28707,4.181,186.05313,1907.8224,70091.00254,2.6191417,5.5199734,0.351059,5,5,0,10,4,3,2,8,0,0.2,10,0,2,0,0,-0.146,0,-1.458,0,0,0,0,8,4,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0.266
69598642,-8.01073,-1.23438,6.77635,6.122,176.36584,794.9373,25499.46734,3.0847261,5.9818377,0.373812,11,0,11,10,4,1,2,8,0,0.2,10,0,2,0,1,-0.319,0.868,-3.513,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,0,1,0,0.192
69705085,-9.48978,-2.70728,6.7825,4.095,185.12516,13916.7882,4042391.07449,2.8641789,7.5554097,0.32145,12,1,11,10,3,1,0,10,0,0,11,2,1,0,1,-0.345,0.653,-4.136,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,1,0.227
69705735,-9.81871,-2.50603,7.31268,5.484,167.40437,343.1602,45024.62348,3.0433503,6.4508236,0.233116,13,1,12,12,3,1,0,12,0,0,12,1,2,0,1,-0.306,0.742,-3.981,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,4,0,0,0,0,0,0,0.171
69714344,-8.89943,-1.58135,7.31808,4.779,140.33222,532.5997,30571.58521,3.10912,6.9947582,0.209826,9,3,6,10,1,2,0,10,0,0,12,0,2,0,1,-0.265,0.985,-3.449,0,0,4,2,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0.067
69807665,-8.29829,-1.73015,6.56814,5.818,187.39058,1833.7982,78290.2132,2.5915061,6.6146923,0.486879,12,2,10,13,3,0,1,12,0,0.077,13,2,2,0,1,0.349,0.951,4.889,0,0,4,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,1,0,0,1,0,0,0,0.179
69914480,-9.14239,-2.19925,6.94314,7.477,170.9352,1839.706,111070.92166,2.9848344,8.3339474,0.292349,12,1,11,12,2,1,0,12,0,0,11,2,1,0,1,-0.068,0.739,-0.819,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,4,0,0,0,1,0,0,0.240
69914635,-9.17649,-1.96055,7.21594,9.317,168.68553,1269.9536,79043.13729,2.9928066,6.7999778,0.189929,12,1,11,12,2,1,0,12,0,0,11,2,1,0,1,-0.082,0.738,-0.986,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,4,0,0,0,1,0,0,0.229
69915948,-9.56268,-2.30941,7.25327,4.574,164.84079,1515.9525,91596.20571,3.0514077,7.4638585,0.313097,12,1,11,11,3,1,0,11,0,0,11,2,1,0,1,-0.084,0.735,-1.006,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,0,1,0,0,0.246
69930327,-8.21663,-1.60654,6.61009,3.557,212.83494,1185.9791,76435.54325,2.8024376,5.8072437,0.408241,10,4,6,15,0,3,2,13,0,0.133,14,0,3,0,1,0.346,0.976,5.191,0,0,4,2,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0.255
