PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
9204,-8.54611,-0.73092,7.81519,1.536,159.40059,123.1291,25546.43153,3.5327451,6.6718922,0.476578,9,3,6,13,0,0,1,12,0,0.077,12,1,2,0,1,0.205,0.961,2.665,1,0,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0.072
9218,-9.26188,-1.40925,7.85263,3.757,121.99585,291.4498,13014.80903,3.3314786,6.1260377,0.108594,3,3,0,9,1,2,2,7,0,0.222,6,2,1,0,0,-0.759,0,-3.793,1,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0.099
9362,-8.83598,-1.58084,7.25514,0.687,170.21558,68.1567,27988.12067,3.6786444,5.5045321,0.425507,9,3,6,12,2,1,1,11,0,0.083,12,0,3,0,1,na,na,na,1,0,4,2,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,0,0,0,0,0,0.265
10379,-8.98973,-1.73198,7.25775,4.01,176.6128,1318.9988,92598.39262,3.3754863,9.7055277,0.552893,9,3,6,12,1,2,0,12,0,0,6,0,2,0,1,0.118,0.983,1.296,0,0,4,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0.109
11352,-8.33713,-1.13119,7.20594,3.879,178.11646,459.5623,38648.39746,3.7980508,6.9014299,0.353711,16,0,16,13,2,0,0,13,0,0,14,0,3,0,2,0.56,0.925,8.955,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0.139
11353,-8.12013,-1.11173,7.0084,1.116,179.75249,760.4763,40818.1792,3.7236845,6.9110001,0.351613,16,0,16,13,2,0,0,13,0,0,14,0,3,0,2,0.543,0.924,8.69,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0.138
17172,-7.96443,-0.97715,6.98728,6.262,245.75629,1841.2069,119594.02881,3.3626122,5.5973461,1.065336,6,6,0,15,2,1,4,11,0,0.267,8,0,3,0,0,na,na,na,1,1,0,0,7,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0.210
18865,-7.9598,-1.02442,6.93538,2.046,198.23638,214.7064,87101.11403,3.7137711,6.6216388,0.499091,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.538,0.924,8.609,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.124
18944,-9.4173,-1.71086,7.70644,2.949,183.54313,1742.3524,144101.2871,3.2814449,8.6871036,0.590508,10,5,5,9,4,4,1,8,0,0.111,9,1,0,0,0,-0.092,0.966,-0.828,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0.094
21082,-7.81381,-0.94775,6.86606,0.028,189.10563,0.7313,19275.46737,3.7599128,5.823326,0.370909,16,0,16,14,0,2,0,14,0,0,14,0,3,0,3,0.615,0.939,9.833,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,0,2,0,0.149
21402,-7.37517,-0.71936,6.65581,1.779,214.57138,1003.4417,28533.75484,3.5489356,5.6730071,0.394974,16,0,16,14,2,2,0,14,0,0,14,0,3,0,3,0.584,0.941,9.342,0,0,6,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,2,0,0.159
26592,-8.69765,-1.69509,7.00256,9.059,199.14444,377.0752,58442.41801,3.3742082,9.5604921,0.234141,18,2,16,13,3,2,0,13,0,0,14,0,3,0,2,0.564,0.927,9.02,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.134
29049,-9.83417,-2.15789,7.67628,6.676,131.08875,106.2966,16479.69215,3.4972726,5.3354812,0.369156,5,5,0,7,3,4,2,5,0,0.286,6,1,1,0,0,na,na,na,1,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0.279
34327,-7.98969,-0.84971,7.13998,1.136,197.72892,174.5586,23159.19711,3.6634117,5.6992958,0.645917,13,2,11,16,0,0,2,14,0,0.125,14,0,4,0,2,0.431,0.949,6.904,2,0,5,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0.176
34809,-8.14526,-1.08013,7.06513,3.243,185.65314,516.7539,33469.62753,3.7624917,6.0740603,0.363969,16,0,16,14,0,2,0,14,0,0,14,0,3,0,3,0.622,0.94,9.951,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,0,2,0,0.148
38497,-8.15713,-0.978,7.17913,4.759,194.30241,550.1448,66185.13909,3.6912706,6.9370764,0.328518,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.57,0.928,9.116,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.134
38502,-7.91283,-1.02568,6.88715,2.206,194.80582,915.8931,64184.1895,3.6464432,6.7347543,0.366159,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.539,0.925,8.625,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.130
43512,-8.08093,-0.91979,7.16114,1.026,226.22175,263.3656,56909.6415,3.7869462,6.1676669,0.416497,17,1,16,18,0,0,2,16,0,0.111,16,0,4,0,3,0.504,0.936,9.072,2,0,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0.155
43513,-8.12221,-0.91996,7.20225,0.928,223.86521,238.4664,69717.98761,3.8511926,6.2524658,0.296154,17,1,16,18,0,0,2,16,0,0.111,16,0,4,0,3,0.502,0.935,9.031,2,0,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0.155
58266,-8.81767,-1.31667,7.501,4.057,186.23465,20625.3449,11635338.95482,3.3963329,6.3992556,0.257478,11,1,10,9,4,0,2,7,0,0.222,11,1,1,0,1,0.24,0.74,2.402,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0.124
69504,-8.71427,-1.52774,7.18653,3.623,190.18003,128.4617,30143.29899,3.6984436,6.0444294,0.443562,17,1,16,15,0,1,0,15,0,0,14,0,3,0,3,0.573,0.934,9.165,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0.147
69845,-8.57914,-1.31298,7.26616,2.742,122.15912,159.3362,35524.67819,3.3582165,6.3413453,0.260225,10,0,10,6,3,0,0,6,0,0,9,1,1,0,1,0.196,0.743,1.571,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0.125
72725,-8.71536,-1.7342,6.98116,2.566,191.52529,784.1486,80588.44204,3.3086618,6.1850361,0.976697,13,2,11,12,2,2,0,12,0,0,14,0,3,0,1,-0.073,0.917,-1.099,0,0,4,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0.147
73697,-10.23384,-3.24397,6.98987,0.694,215.65821,33.4567,-89902.64052,3.613248,5.2176686,1.311328,10,0,6,12,4,0,0,8,4,0,6,0,1,0,1,-0.339,0.882,-2.035,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0.248
74995,-8.19494,-1.10726,7.08768,6.87,207.96039,1592.6413,79942.203,3.3985653,5.6969357,1.056406,6,6,0,13,2,1,2,11,0,0.154,8,0,3,0,0,na,na,na,1,1,0,0,7,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0.194
76137,-8.68555,-1.52245,7.1631,2.362,183.40745,620.2001,36945.90877,3.7015743,6.8309309,0.313989,16,0,16,13,2,1,1,12,0,0.077,14,0,3,0,2,0.518,0.914,8.283,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0.163
76138,-8.39403,-1.38575,7.00828,2.42,174.99194,741.3406,39749.40984,3.4877097,7.0070999,0.311162,16,0,16,12,3,0,0,12,0,0,14,0,3,0,2,0.508,0.914,8.132,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0.154
82430,-9.55748,-1.81023,7.74725,3.777,146.27525,1344.4799,72523.53181,2.9153961,8.9536914,0.596587,12,2,10,7,5,3,1,6,0,0.143,10,2,0,0,0,0.193,0.728,2.123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0.058
83107,-7.8429,-0.76077,7.08213,1.861,213.69914,561.6785,51570.28096,3.936544,6.4056022,0.373562,16,0,16,16,0,2,2,14,0,0.125,14,0,3,0,3,0.555,0.932,8.884,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0.116
84195,-9.43131,-1.95873,7.47258,4.064,155.34548,458.3528,23021.24002,3.0124417,6.8688656,0.580402,6,6,0,10,2,3,2,8,0,0.2,8,0,2,0,0,na,na,na,1,0,0,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0.177
84367,-9.04732,-1.65864,7.38868,7.433,147.28895,786.3696,35793.7948,3.1848733,7.9144791,0.387478,12,2,10,7,3,2,0,7,0,0,9,1,1,0,1,0.442,0.728,3.976,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0.077
84458,-8.29869,-0.75006,7.54863,1.666,217.39534,100.7999,69711.83123,3.4972316,6.8153869,0.708908,14,3,11,17,0,0,1,16,0,0.059,16,1,3,0,2,0.222,0.932,3.996,1,0,6,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0.083
90219,-9.35387,-1.80072,7.55315,3.085,169.29963,2007.9892,100842.16906,2.8797441,9.052336,0.597869,12,2,10,8,5,4,2,6,0,0.25,10,2,0,0,0,0.182,0.728,2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,4,0,0,1,0,1,0,0.059
90352,-9.19114,-1.91372,7.27742,1.556,165.56368,1556.156,86152.98195,3.1330855,10.7014268,0.363316,12,2,10,8,5,4,2,6,0,0.25,10,2,0,0,0,0.173,0.73,1.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,4,0,0,1,0,1,0,0.056
94719,-9.21263,-1.84592,7.36671,1.762,185.1523,241.1122,30039.09652,3.8583219,6.3762585,0.426595,17,0,16,14,2,0,0,13,1,0,14,0,3,0,2,0.541,0.923,8.648,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,1,0,0,0,0,0.157
98663,-9.12028,-1.79245,7.32783,1.904,183.78243,268.8862,32531.68744,3.6789598,6.3862614,0.403787,17,1,16,14,1,1,0,14,0,0,14,0,3,0,2,0.529,0.921,8.46,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0.153
101892,-8.02242,-0.86989,7.15253,0.665,160.81146,90.1056,25341.60777,3.0891893,4.6602008,0.264751,8,2,6,13,0,0,1,12,0,0.077,6,1,2,0,1,0.029,0.895,0.262,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0.285
121004,-8.2004,-0.91555,7.28485,5.497,214.85677,189.0723,37510.0782,3.9035131,6.5205264,0.405559,16,0,16,15,3,0,2,13,0,0.133,14,0,3,0,2,0.549,0.925,8.783,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,1,0,0,0,0,0,0.137
130624,-7.95698,-0.7224,7.23458,3.006,196.84608,485.667,16631.5023,2.0566076,4.4330959,0.11854,3,3,0,15,0,1,6,9,0,0.4,6,2,0,0,0,na,na,na,0,2,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.386
136238,-8.09635,-1.2654,6.83095,0.683,193.97767,175.2079,27552.51406,3.3751452,5.8652205,0.334089,16,0,16,13,0,0,0,13,0,0,14,0,3,0,2,0.595,0.765,9.52,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.198
136611,-8.8019,-0.81859,7.98331,0.477,134.75549,91.4204,8469.31062,2.4555344,6.9601693,0.084843,4,4,0,11,0,0,1,10,0,0.091,8,1,0,0,0,-0.624,0,-4.994,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.110
139143,-8.34987,-1.35896,6.99091,2.969,177.57193,55.077,25009.86613,3.4266603,5.739622,0.395049,12,0,12,13,1,1,1,12,0,0.077,6,0,3,0,2,na,na,na,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,1,0,0,0,0,0,0.255
140252,-8.30888,-0.75734,7.55154,0.434,220.82026,58.4881,24491.30687,2.3719647,6.2044055,0.112073,5,5,0,18,0,0,4,14,0,0.222,10,1,0,0,0,-0.494,0,-4.944,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.217
140677,-8.84001,-1.17816,7.66185,4.214,186.68922,454.2467,38914.57238,3.6911017,6.5697405,0.348034,10,4,6,13,1,2,0,13,0,0,8,0,2,0,1,0.357,0.994,5.005,0,0,5,1,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,1,1,0,0,0,1,0,0.115
141321,-8.67473,-1.50723,7.1675,1.085,185.40445,175.551,36138.36519,3.6212305,5.4661806,0.416101,9,3,6,13,2,1,2,11,0,0.154,12,0,3,0,1,na,na,na,1,0,3,3,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,0,0,0,0,0,0.265
142316,-8.60751,-0.69043,7.91708,1.883,188.4757,253.5121,15885.63613,2.6860768,5.5792152,0.11331,3,2,0,16,0,0,4,9,3,0.25,0,1,0,0,0,na,na,na,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.217
143380,-8.60462,-0.74101,7.86361,1.092,144.52515,15.2108,8615.78919,2.4244309,7.103651,0.093807,4,4,0,12,0,0,2,10,0,0.167,8,1,0,0,0,-0.478,0,-3.824,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.130
143466,-7.8642,-1.15016,6.71404,1.586,209.06955,156.2073,22576.61495,3.2970039,5.9469016,0.345275,16,0,16,14,0,0,1,13,0,0.071,14,0,3,0,2,0.569,0.768,9.107,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0.205
143532,-8.08762,-0.13272,7.9549,1.244,200.8229,79.0304,14835.34827,2.4325697,4.6997935,0.02297,2,2,0,18,0,0,6,12,0,0.333,0,0,2,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151
144109,-8.37163,-0.6485,7.72313,3.333,122.31474,327.8522,4211.55183,1.5426357,3.668859,0.013058,1,1,0,8,1,1,1,7,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.651
145625,-8.54552,-0.47642,8.0691,1.19,123.26438,34.851,5903.35217,4.0919888,6.1043669,0.266521,6,0,6,10,0,0,2,8,0,0.2,6,0,1,1,1,-0.917,0.855,-5.501,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0.156
146268,-9.03127,-1.6379,7.39337,7.386,194.56554,3505.5555,417850.96642,3.1085861,9.1451577,0.521092,13,3,10,9,3,3,0,9,0,0,12,2,0,0,0,0.118,0.703,1.531,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1,0.089
146301,-8.12815,-1.2941,6.83405,0.003,188.77669,0.6093,50679.06534,3.3901424,6.0915037,0.356018,16,0,16,12,4,0,0,12,0,0,14,0,3,0,2,0.509,0.915,8.151,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0.161
146491,-8.0564,-1.209,6.8474,2.395,148.88745,511.3143,22968.12992,2.9108379,5.267944,0.363091,5,5,0,9,2,2,0,9,0,0,10,0,2,0,0,0.132,0,1.318,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0.322
146720,-8.05037,-1.06261,6.98776,3.758,193.71546,669.682,64477.87867,3.7347674,6.4414784,0.395356,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.54,0.924,8.639,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.134
147195,-8.23275,-1.21398,7.01877,3.765,192.0009,342.6135,67492.25607,3.4735933,6.8348629,0.290358,16,0,16,12,4,0,0,12,0,0,14,0,3,0,2,0.51,0.915,8.167,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0.149
147442,-8.87282,-2.10058,6.77224,3.036,197.21467,456.8978,44486.72495,2.7732283,7.1250445,0.453889,11,5,6,13,2,3,1,12,0,0.077,12,0,3,0,1,na,na,na,1,0,4,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,0,0,0,0,0,0.266
147450,-8.04647,-1.17802,6.86845,2.802,220.22911,803.3018,76897.87975,3.474075,6.7108613,0.296153,16,0,16,14,4,0,2,12,0,0.143,14,0,3,0,2,0.483,0.914,7.726,0,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0.149
149182,-7.41985,-0.26953,7.15032,5.166,222.5255,920.0762,84396.26645,3.0850341,5.2594719,0.497698,10,4,6,16,2,0,2,14,0,0.125,14,1,3,0,1,0.543,0.965,7.599,1,0,4,2,8,5,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,3,2,1,0,0,0,0,0,0.143
149184,-8.24564,-1.26163,6.98401,4.194,187.90238,571.2606,45670.9987,3.415436,6.2346871,0.333115,16,0,16,12,4,0,0,12,0,0,14,0,3,0,2,0.522,0.916,8.349,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0.164
149633,-8.8202,-1.50768,7.31252,7.318,214.54769,1467.6863,117017.65176,3.1879871,5.6631391,0.752754,11,5,6,15,0,3,0,15,0,0,16,0,3,0,1,0.323,0.982,5.489,0,0,4,2,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,2,0,0,0,0,1,0,0.185
152522,-7.97079,-0.98375,6.98704,3.051,195.84711,297.448,68985.69374,3.7101402,6.561757,0.345493,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.539,0.924,8.625,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.134
155464,-8.21692,-1.20406,7.01286,2.691,187.84564,861.0484,50531.31595,3.8755409,6.2927469,0.350708,16,0,16,14,0,2,0,14,0,0,14,0,3,0,3,0.6,0.937,9.606,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,0,2,0,0.135
157253,-8.776,-1.4005,7.3755,9.098,215.16534,611.9605,72538.71523,3.1604706,6.0120624,0.696918,7,7,0,16,0,2,3,13,0,0.188,10,0,3,0,0,na,na,na,1,1,0,0,9,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0.168
167432,-8.56779,-1.11963,7.44816,3.519,182.6706,276.1664,27038.06903,2.4825524,4.8658815,0.085304,9,3,6,14,0,2,1,13,0,0.071,12,0,1,0,1,0.394,0.994,4.726,0,0,5,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0.246
178018,-8.5439,-1.37103,7.17287,3.398,206.95471,102.1546,26087.49302,3.700705,5.7333747,0.657379,13,2,11,16,0,2,2,14,0,0.125,14,0,4,0,2,0.418,0.95,6.694,2,0,5,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,1,3,0,0,0,0,2,0,0.175
180896,-9.35808,-1.87051,7.48757,4.585,183.26959,376.1483,23322.6471,3.1466427,5.7042112,0.333113,14,3,11,15,0,1,0,15,0,0,16,1,3,0,2,0.061,0.939,1.166,0,0,5,5,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0.107
181408,-9.02755,-1.2302,7.79735,5.204,189.71025,513.5506,28927.52288,3.2652785,6.2331257,0.279065,6,6,0,15,0,1,4,11,0,0.267,10,1,0,0,0,-0.194,0,-1.939,1,1,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0.099
186694,-10.00932,-2.65736,7.35196,5.729,159.96548,488.4681,34707.96451,3.1519765,9.0397856,0.381701,8,8,0,9,3,5,1,8,0,0.111,8,0,2,0,0,na,na,na,1,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0.154
189829,-8.86571,-1.03081,7.8349,7.009,255.97099,195.3955,153619.27356,3.8982099,7.0106211,1.277232,11,5,6,17,0,1,2,15,0,0.118,16,0,1,0,1,0.328,0.992,5.253,0,0,5,1,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0.092
193287,-8.01317,-1.12024,6.89293,1.75,176.66764,293.8112,40361.57737,2.8782018,5.0546007,0.176043,12,0,12,13,2,0,0,13,0,0,6,0,2,0,2,0.237,0.908,2.844,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0.251
193908,-8.49911,-1.34879,7.15032,6.747,200.15263,1995.8231,95608.88361,3.1402463,6.722132,1.047543,16,0,16,12,3,1,0,12,0,0,14,0,3,0,2,-0.057,0.896,-0.917,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0.199
221502,-8.0436,-1.11828,6.92532,4.375,208.89399,481.8969,61721.98983,3.800075,6.1391021,0.362076,16,0,16,15,0,3,1,14,0,0.067,14,0,3,0,3,0.607,0.939,9.718,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,3,0,0.131
223853,-8.67842,-1.17612,7.5023,4.314,275.61118,2534.3448,541504.13567,3.7408865,7.5901913,1.537097,12,6,6,17,0,1,0,17,0,0,18,0,1,0,1,0.3,0.991,5.399,0,0,5,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0.162
224502,-9.4031,-1.27306,8.13004,0.937,180.19705,95.9579,46747.08475,3.5998237,7.832916,0.171686,13,1,12,14,2,0,0,14,0,0,14,1,2,0,2,0.201,0.97,3.01,0,0,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,3,0,0,0,0,0,0,0.063
227197,-8.93056,-1.16368,7.76688,2.651,210.56561,332.0644,123400.15219,3.5278336,7.5312325,0.86166,13,3,10,15,0,3,2,13,0,0.133,16,3,0,0,0,-0.399,0.947,-6.789,2,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,3,2,0,0,0,0,0,0,0.070
228615,-8.15485,-1.75969,6.39516,0.004,192.47634,5.2818,-16189.05001,3.5491505,4.7846065,0.475335,12,0,12,12,2,2,0,12,0,0,6,0,3,0,2,0.56,0.931,6.714,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,2,0,0,0,0,0,0.409
